MeterId;MeterName;Type;Unit;RecordNumber;RecordName;DwellingType;ConstructionYear;RenovationYear;Country;PostalCode;FloorSurface;HouseholdSize;HeatingOn;CookingOn;HotWaterOn;EnergyPerformance;EnergyRating;Category;EnergyEfficiency;AuxiliaryHeatingOn;Installations;StreetAddress;Email;BusinessName;FullName;Multiplier;ReadingType
075186E1-8C3B-4B76-BDBF-6C6EE088AD4A;Drinkwater;drinking water;cbm;EA-14106109;G12 De Kansel;AttachedHouse;;;BE;3000;210.0;1.0;natural gas;natural gas;natural gas;;;Food;;none;;;g12@efika.be;G12 De Kansel;G12 De Kansel;1;continuous
3DF2CC1A-6A9F-4291-9127-5C9C36A79895;Elektriciteit (dag);electricity;kwh;EA-14106109;G12 De Kansel;AttachedHouse;;;BE;3000;210.0;1.0;natural gas;natural gas;natural gas;;;Food;;none;;;g12@efika.be;G12 De Kansel;G12 De Kansel;1;continuous
E8B54869-E248-4FE8-B754-82825AF02482;Elektriciteit (nacht);electricity;kwh;EA-14106109;G12 De Kansel;AttachedHouse;;;BE;3000;210.0;1.0;natural gas;natural gas;natural gas;;;Food;;none;;;g12@efika.be;G12 De Kansel;G12 De Kansel;1;continuous
BD380DC3-B728-4ABC-A918-E4BD176FAEE9;Aardgas Flukso;natural gas;l;EA-14106109;G12 De Kansel;AttachedHouse;;;BE;3000;210.0;1.0;natural gas;natural gas;natural gas;;;Food;;none;;;g12@efika.be;G12 De Kansel;G12 De Kansel;1;continuous
49B96934-6625-4172-8AF2-1DC68BE8B623;Barboek water;drinking water;l;EA-14123735;Barboek;;;;BE;3000;;;natural gas;natural gas;natural gas;;;Retail;;none;;Schrijnmakersstraat 17;barboek@thinkcore.be;Barboek;Barboek;1;continuous
FBA250CB-6270-4BC3-80C1-4DE7C4558B5F;Aardgas;natural gas;cbm;EA-14106109;G12 De Kansel;AttachedHouse;;;BE;3000;210.0;1.0;natural gas;natural gas;natural gas;;;Food;;none;;;g12@efika.be;G12 De Kansel;G12 De Kansel;1;continuous
E5386528-DF56-475C-8C08-9ABD8AEC64C2;Elektriciteit Flukso;electricity;wh;EA-14106109;G12 De Kansel;AttachedHouse;;;BE;3000;210.0;1.0;natural gas;natural gas;natural gas;;;Food;;none;;;g12@efika.be;G12 De Kansel;G12 De Kansel;1;continuous
F810765C-830E-4A63-A7AE-DD32494DDAE0;Barboek_elek_1;electricity;wh;EA-14123735;Barboek;;;;BE;3000;;;natural gas;natural gas;natural gas;;;Retail;;none;;Schrijnmakersstraat 17;barboek@thinkcore.be;Barboek;Barboek;1;continuous
059A47D2-ACCD-44FB-9460-C4DAB9406697;Drinkwater;drinking water;cbm;EA-14123735;Barboek;;;;BE;3000;;;natural gas;natural gas;natural gas;;;Retail;;none;;Schrijnmakersstraat 17;barboek@thinkcore.be;Barboek;Barboek;1;continuous
BEAE0CEE-13B4-4ACD-9185-08F4584666EE;Aardgas;natural gas;cbm;EA-14123737;Elsen;;;;BE;3000;;;natural gas;natural gas;natural gas;;;Retail;;none;;Mechelsestraat 36;elsen@thinkcore.be;Elsen;Elsen;1;continuous
