MeterId,MeterName,Type,Unit,RecordNumber,RecordName,DwellingType,ConstructionYear,RenovationYear,Country,PostalCode,FloorSurface,HouseholdSize,HeatingOn,CookingOn,HotWaterOn,EnergyPerformance,EnergyRating,Category,EnergyEfficiency,AuxiliaryHeatingOn,Installations,StreetAddress,Email,BusinessName,FullName,Multiplier,ReadingType
404AEB88-F5F8-436E-94F7-223EE87D8BB7,Elektriciteit (nacht),electricity,kwh,EA-14106111,G07 Mykene,AttachedHouse,<1948,<2005,BE,3000,410,1,natural gas,natural gas,natural gas,1,2,Food,traditional,natural gas,no,Muntstraat ,g07@efika.be,G07 Mykene,G07 Mykene,1,continuous
5553EC7E-D2F7-4CF0-BD2A-27CA3B95FA00,Aardgas Flukso,natural gas,l,EA-14106111,G07 Mykene,AttachedHouse,<1949,<2005,BE,3000,410,1,natural gas,natural gas,natural gas,2,3,Food,traditional,natural gas,no,Muntstraat ,g07@efika.be,G07 Mykene,G07 Mykene,1,continuous
47DB61A1-050F-4900-A7AE-AECF2E7AF5D8,Aardgas,natural gas,cbm,EA-14106111,G07 Mykene,AttachedHouse,<1950,<2005,BE,3000,410,1,natural gas,natural gas,natural gas,3,4,Food,traditional,natural gas,no,Muntstraat ,g07@efika.be,G07 Mykene,G07 Mykene,1,continuous
5CEC0721-2858-4BA4-B705-E53C540E1016,Elektriciteit Flukso,electricity,wh,EA-14106111,G07 Mykene,AttachedHouse,<1951,<2005,BE,3000,410,1,natural gas,natural gas,natural gas,4,5,Food,traditional,natural gas,no,Muntstraat ,g07@efika.be,G07 Mykene,G07 Mykene,1,continuous
EE47B462-9C04-4E7E-912D-EB6F9D8E84BF,Elektriciteit (dag),electricity,kwh,EA-14106111,G07 Mykene,AttachedHouse,<1952,<2005,BE,3000,410,1,natural gas,natural gas,natural gas,5,6,Food,traditional,natural gas,no,Muntstraat ,g07@efika.be,G07 Mykene,G07 Mykene,1,continuous
BEAE0CEE-13B4-4ACD-9185-08F4584666EE,Aardgas,natural gas,cbm,EA-14123737,Elsen,RowHouse,<1953,<2006,BE,3000,450,1,natural gas,natural gas,natural gas,8,9,Retail,traditional,none,no,Mechelsestraat 36,elsen@thinkcore.be,Elsen,Elsen,1,continuous
A4B42D74-3B1B-40D7-AB31-3DAA90914F6C,Elsen_elek_2,electricity,wh,EA-14123737,Elsen,RowHouse,<1954,<2006,BE,3000,450,1,natural gas,natural gas,natural gas,6,7,Retail,traditional,none,no,Mechelsestraat 36,elsen@thinkcore.be,Elsen,Elsen,1,continuous
29FD4114-4672-4CF2-8EE0-64F6ADAF9A30,ElsenGas,natural gas,l,EA-14123737,Elsen,RowHouse,<1955,<2006,BE,3000,450,1,natural gas,natural gas,natural gas,1,2,Retail,traditional,none,no,Mechelsestraat 36,elsen@thinkcore.be,Elsen,Elsen,1,continuous
F56C9E29-A165-419C-979A-83033ED7AE0A,Elektriciteit (nacht),electricity,kwh,EA-14123737,Elsen,RowHouse,<1956,<2007,BE,3000,450,1,natural gas,natural gas,natural gas,22,23,Retail,traditional,none,no,Mechelsestraat 36,elsen@thinkcore.be,Elsen,Elsen,1,continuous
8B381DEF-2B6E-4749-BDDE-867D3D490F2A,Elsen_elek_1,electricity,wh,EA-14123737,Elsen,RowHouse,<1957,<2007,BE,3000,450,1,natural gas,natural gas,natural gas,6,7,Retail,traditional,none,no,Mechelsestraat 36,elsen@thinkcore.be,Elsen,Elsen,1,continuous
D52C27E9-3149-4A51-978B-D57E26EA4B26,Elektriciteit (dag),electricity,kwh,EA-14123737,Elsen,RowHouse,<1958,<2007,BE,3000,450,1,natural gas,natural gas,natural gas,1,2,Retail,traditional,none,no,Mechelsestraat 36,elsen@thinkcore.be,Elsen,Elsen,1,continuous
307510A6-409C-4557-AF12-E3B65C7CC7CA,Elsen_elek_3,electricity,wh,EA-14123737,Elsen,RowHouse,<1959,<2008,BE,3000,450,1,natural gas,natural gas,natural gas,5,6,Retail,traditional,none,no,Mechelsestraat 36,elsen@thinkcore.be,Elsen,Elsen,1,continuous
49B96934-6625-4172-8AF2-1DC68BE8B623,Barboek water,drinking water,l,EA-14123735,Barboek,RowHouse,<1960,<2008,BE,3000,204,1,natural gas,natural gas,natural gas,2,3,Retail,traditional,none,no,Schrijnmakersstraat 17,barboek@thinkcore.be,Barboek,Barboek,1,continuous
CBB4AC3E-8424-45D1-920D-3A34AD4B90F8,Elektriciteit,electricity,kwh,EA-14123735,Barboek,RowHouse,<1961,<2008,BE,3000,205,1,natural gas,natural gas,natural gas,4,5,Retail,traditional,none,no,Schrijnmakersstraat 17,barboek@thinkcore.be,Barboek,Barboek,1,continuous
11756A8E-08EC-4218-8355-AA3201EA2793,Aardgas,natural gas,cbm,EA-14123735,Barboek,RowHouse,<1962,<2009,BE,3000,206,1,natural gas,natural gas,natural gas,5,6,Retail,traditional,none,no,Schrijnmakersstraat 17,barboek@thinkcore.be,Barboek,Barboek,1,continuous
059A47D2-ACCD-44FB-9460-C4DAB9406697,Drinkwater,drinking water,cbm,EA-14123735,Barboek,RowHouse,<1963,<2009,BE,3000,207,1,natural gas,natural gas,natural gas,5,6,Retail,traditional,none,no,Schrijnmakersstraat 17,barboek@thinkcore.be,Barboek,Barboek,1,continuous
F810765C-830E-4A63-A7AE-DD32494DDAE0,Barboek_elek_1,electricity,wh,EA-14123735,Barboek,RowHouse,<1964,<2009,BE,3000,208,1,natural gas,natural gas,natural gas,2,3,Retail,traditional,none,no,Schrijnmakersstraat 17,barboek@thinkcore.be,Barboek,Barboek,1,continuous
64BC8251-3268-4556-9766-E09E4262D2C6,Barboek gas,natural gas,l,EA-14123735,Barboek,RowHouse,<1965,<2010,BE,3000,209,1,natural gas,natural gas,natural gas,5,6,Retail,traditional,none,no,Schrijnmakersstraat 17,barboek@thinkcore.be,Barboek,Barboek,1,continuous
FBA250CB-6270-4BC3-80C1-4DE7C4558B5F,Aardgas,natural gas,cbm,EA-14106109,G12 De Kansel,AttachedHouse,<1966,<2010,BE,3000,210,1,natural gas,natural gas,natural gas,89,90,Food,traditional,none,no,Zwartzustersstraat 2,g12@efika.be,G12 De Kansel,G12 De Kansel,1,continuous
3DF2CC1A-6A9F-4291-9127-5C9C36A79895,Elektriciteit (dag),electricity,kwh,EA-14106109,G12 De Kansel,AttachedHouse,<1967,<2010,BE,3000,210,1,natural gas,natural gas,natural gas,2,3,Food,traditional,none,no,Zwartzustersstraat 3,g12@efika.be,G12 De Kansel,G12 De Kansel,1,continuous
075186E1-8C3B-4B76-BDBF-6C6EE088AD4A,Drinkwater,drinking water,cbm,EA-14106109,G12 De Kansel,AttachedHouse,<1968,<2011,BE,3000,210,1,natural gas,natural gas,natural gas,44,45,Food,traditional,none,no,Zwartzustersstraat 4,g12@efika.be,G12 De Kansel,G12 De Kansel,1,continuous
E8B54869-E248-4FE8-B754-82825AF02482,Elektriciteit (nacht),electricity,kwh,EA-14106109,G12 De Kansel,AttachedHouse,<1969,<2011,BE,3000,210,1,natural gas,natural gas,natural gas,8,9,Food,traditional,none,no,Zwartzustersstraat 5,g12@efika.be,G12 De Kansel,G12 De Kansel,1,continuous
